id,title,Service ID,HTML
14945,Service 189: Fleet Management,189,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>0</td><td>70,811,003</td><td>70,811,003</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>252</td><td>252</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>0</td><td>66,604,647</td><td>66,604,647</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>252</td><td>252</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>0</td><td>67,844,708</td><td>67,844,708</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>252</td><td>252</td></tr></tbody></table>"
13693,Service 303: Clinical Services,303,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>4,367,732</td><td>2,788,259</td><td>7,155,991</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>27</td><td>23</td><td>50</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>5,363,718</td><td>2,697,297</td><td>8,061,015</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>28</td><td>22</td><td>50</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>5,603,816</td><td>2,865,236</td><td>8,469,052</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>28</td><td>23</td><td>51</td></tr></tbody></table>"
14950,Service 305: Healthy Homes,305,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>1,105,546</td><td>1,511,210</td><td>2,616,756</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>7</td><td>19</td><td>26</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>928,920</td><td>1,983,679</td><td>2,912,599</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>6</td><td>17</td><td>23</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>1,072,689</td><td>2,050,937</td><td>3,123,626</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>6</td><td>17</td><td>23</td></tr></tbody></table>"
14951,Service 307: Substance Abuse and Mental Health,307,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>63,085</td><td>2,929,416</td><td>2,992,501</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>1</td><td>1</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>1,601,148</td><td>3,001,274</td><td>4,602,422</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>1</td><td>1</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>1,643,558</td><td>3,041,601</td><td>4,685,159</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>1</td><td>1</td></tr></tbody></table>"
14952,Service 308: Maternal and Child Health,308,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>2,073,833</td><td>23,665,559</td><td>25,739,392</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>7</td><td>118</td><td>125</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>2,054,708</td><td>23,812,682</td><td>25,867,390</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>8</td><td>125</td><td>133</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>2,102,775</td><td>24,376,704</td><td>26,479,479</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>8</td><td>130</td><td>138</td></tr></tbody></table>"
14953,Service 310: School Health Services,310,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>15,338,314</td><td>13,465,252</td><td>28,803,566</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>10</td><td>246</td><td>256</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>14,983,639</td><td>1,769,374</td><td>16,753,013</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>11</td><td>245</td><td>256</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>2,329,440</td><td>2,864,013</td><td>5,193,453</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>11</td><td>245</td><td>256</td></tr></tbody></table>"
14954,Service 311: Health Services for Seniors,311,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>2,513</td><td>2,451,265</td><td>2,453,778</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>24</td><td>24</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>0</td><td>4,993,373</td><td>4,993,373</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>37</td><td>37</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>0</td><td>5,261,857</td><td>5,261,857</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>37</td><td>37</td></tr></tbody></table>"
14955,Service 315: Emergency Services-Health,315,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>840,237</td><td>5,403,057</td><td>6,243,294</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>7</td><td>38</td><td>45</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>906,554</td><td>9,625,596</td><td>10,532,150</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>11</td><td>35</td><td>46</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>949,642</td><td>9,712,214</td><td>10,661,856</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>11</td><td>35</td><td>46</td></tr></tbody></table>"
14956,Service 316: Youth and Trauma Services,316,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>985,848</td><td>1,489,804</td><td>2,475,652</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>7</td><td>1</td><td>8</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>747,106</td><td>1,731,080</td><td>2,478,186</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>7</td><td>11</td><td>18</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>853,545</td><td>1,768,405</td><td>2,621,950</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>7</td><td>11</td><td>18</td></tr></tbody></table>"
15017,Service 356: Administration-MOHS,356,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>1,265,351</td><td>982,048</td><td>2,247,399</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>7</td><td>23</td><td>30</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>1,910,976</td><td>4,383,779</td><td>6,294,755</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>13</td><td>27</td><td>40</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>1,968,196</td><td>4,792,264</td><td>6,760,460</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>11</td><td>27</td><td>38</td></tr></tbody></table>"
