Service ID,Service Name,Type,PMID,Priority Measure,2015,2016,2017,2018,2019,2020,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020
14931,Service 701: Printing Services,Efficiency,196476,% Cost Recovery,110,110,100,100,100,100,0,0,0,0,0,0
14931,Service 701: Printing Services,Efficiency,196528,Average # of days for print job turnaround,10,10,10,10,10,10,0,0,0,0,0,0
14932,Service 703: Payroll,Output,92756,# of Off-Cycle Checks,2400,2200,1400,1400,1400,1900,0,0,0,0,0,0
14932,Service 703: Payroll,Efficiency,92757,$ per Check,2.35,2.35,2.4,2.5,2.5,2.6,0,0,0,0,0,0
14932,Service 703: Payroll,Output,92758,# of Payroll Checks/Advices Issued,565000,560000,350000,350000,390000,390000,0,0,0,0,0,0
14934,Service 708: Operating Budget Management,Outcome,92746,Annual $ saved from BBMR recommendations (in millions),3000000,3000000,2000000,2000000,2000000,2000000,0,0,0,0,0,0
14934,Service 708: Operating Budget Management,Effectiveness,92747,Average # of days to approve requisition,2,2,2,2,2,2,0,0,0,0,0,0
14934,Service 708: Operating Budget Management,Effectiveness,92748,Revenue Forecast Accuracy (% variance from budget),2,2,2,2,2,2,0,0,0,0,0,0
14934,Service 708: Operating Budget Management,Effectiveness,97362,# of Residents engaged in annual budget planning process,0,0,0,2835,3000,3000,0,0,0,0,0,0
14934,Service 708: Operating Budget Management,Effectiveness,201746,% of Results Team recommendations adopted in the Budget,0,0,0,80,80,100,0,0,0,0,0,0
14935,Service 710: Fiscal Integrity and Recovery,Outcome,196416,$ Estimated Increase in Property Tax Revenue Attributable to Successful Appeals,0,0,0,0,0,0,0,0,0,1800000,1800000,2180000
14935,Service 710: Fiscal Integrity and Recovery,Output,196530,# of Appraisals Completed,0,0,0,0,0,0,0,0,650,700,700,470
14935,Service 710: Fiscal Integrity and Recovery,Efficiency,196531,# of Days from Request to Services Rendered for CHAP Tax Credit Valuations,0,0,0,0,0,0,0,0,7,7,5,5
14935,Service 710: Fiscal Integrity and Recovery,Output,196532,# of Tax Credits Granted in the Tax Credit System,0,0,3692,3950,4539,4050,0,0,0,0,0,0
14935,Service 710: Fiscal Integrity and Recovery,Effectiveness,196533,# of Tax Credit Applications Rejected or Revoked,0,0,0,0,0,0,0,0,30,35,40,45
14936,Service 711: Finance Project Management,Output,97590,# of Functional Design Documents completed   ,8,2,2,2,4,3,0,0,0,0,0,0
14936,Service 711: Finance Project Management,Output,97591,# of Systems transferred off mainframe,1,3,2,2,2,3,0,0,0,0,0,0
14936,Service 711: Finance Project Management,Effectiveness,97592,# of software packages identified that meet 80 percent of the user requirements ,2,2,2,2,2,3,0,0,0,0,0,0
14936,Service 711: Finance Project Management,Outcome,97593,% of Billing Systems removed from the mainframe or new systems       ,10,10,10,10,5,10,0,0,0,0,0,0
14938,Service 602: Fire Suppression and Emergency Rescue,Outcome,92788,# of fatal fires per 100k residents,0,0,2,2,2,2,0,0,0,0,0,0
14938,Service 602: Fire Suppression and Emergency Rescue,Efficiency,92789,% of responses with first engine on the scene within 5 minutes 20 seconds,92,90,90,90,90,90,0,0,0,0,0,0
14938,Service 602: Fire Suppression and Emergency Rescue,Effectiveness,132057,% of fires that progress to a multiple alarm fire,0,2,2,2,2,2,0,0,0,0,0,0
14938,Service 602: Fire Suppression and Emergency Rescue,Output,398330,# home safety inspections,0,0,0,0,10800,10800,0,0,0,0,0,0
14939,Service 610: Community Education and Special Events,Output,92832,# of city and BOPA-sponsored events accomodated,0,0,0,0,8,8,0,0,0,0,0,0
14939,Service 610: Community Education and Special Events,Output,92833,# of youth served through target life safety activities,0,0,0,0,32160,32160,0,0,0,0,0,0
14939,Service 610: Community Education and Special Events,Output,389300,# of requests received for Fire and Life Safety Educational Programs,0,0,0,0,576,576,0,0,0,0,0,0
14939,Service 610: Community Education and Special Events,Output,389302,# of non-city-sponsored events accommodated.,0,0,0,0,452,850,0,0,0,0,0,0
14939,Service 610: Community Education and Special Events,Outcome,398331,# of instances when citizen CPR is attempted,0,0,0,0,,0,0,0,0,0,0,0
14940,Service 611: Fire Code Enforcement,Output,398381, # of initial use and occupancy inspections,0,0,0,0,2736,2736,0,0,0,0,0,0
14940,Service 611: Fire Code Enforcement,Efficiency,398382,% of special events permits approved within 5 business days of completed application being received in the OFM,0,0,0,0,95,95,0,0,0,0,0,0
14940,Service 611: Fire Code Enforcement,Efficiency,398383,% of complaints (fire code violations) investigated within 5 business days,0,0,0,0,80,80,0,0,0,0,0,0
14940,Service 611: Fire Code Enforcement,Efficiency,398384,% of Fire inspections completed within 10 business days received through CSR,0,0,0,0,75,75,0,0,0,0,0,0
14940,Service 611: Fire Code Enforcement,Output,398385,% of plans received through electronic plans review system where initial review is completed within 30 business days,0,0,0,0,80,80,0,0,0,0,0,0
14941,Service 612: Fire Investigation,Output,92825,# of fires investigated,480,480,480,460,460,460,0,0,0,0,0,0
14941,Service 612: Fire Investigation,Effectiveness,398344,% of fires investigated in which fire cause was identified by fire investigation,0,0,0,0,50,50,0,0,0,0,0,0
14941,Service 612: Fire Investigation,Outcome,398345,% of fires that are determined to be preventable,0,0,0,0,50,50,0,0,0,0,0,0
14942,Service 613: Fire Facilities Maintenance and Replacement,Efficiency,92821,% of first line EMS transport units available (daily avg.),80,80,80,80,80,80,0,0,0,0,0,0
14942,Service 613: Fire Facilities Maintenance and Replacement,Output,398339,% of ground ladders tested each year in compliance with NFPA 1932,0,0,0,100,100,100,0,0,0,0,0,0
14942,Service 613: Fire Facilities Maintenance and Replacement,Output,398340,% of all issued turnout gear inspected and cleaned in compliance with NFPA 1851,0,0,0,0,90,90,0,0,0,0,0,0
14942,Service 613: Fire Facilities Maintenance and Replacement,Output,398341,% of vehicle and apparatus that receive preventative maintenance as scheduled by Fleet Management,0,0,0,0,90,90,0,0,0,0,0,0
14943,Service 614: Fire Communications and Dispatch,Effectiveness,92818,% of calls for service processed & dispatched within one minute,90,90,90,90,90,90,0,0,0,0,0,0
14943,Service 614: Fire Communications and Dispatch,Outcome,92963,% of 911 calls compliant with customer service QA scores,100,100,100,100,100,100,0,0,0,0,0,0
14943,Service 614: Fire Communications and Dispatch,Effectiveness,92965,% of emergency calls answered in 10 seconds or less,90,99,99,99,99,99,0,0,0,0,0,0
14943,Service 614: Fire Communications and Dispatch,Outcome,398337,Average QA score for all calls dispatched and monitored.,0,0,0,0,90,90,0,0,0,0,0,0
14943,Service 614: Fire Communications and Dispatch,Output,400743,# of Fire and EMS units response dispatched and monitored annually,0,0,0,0,348000,348000,0,0,0,0,0,0
14944,Service 615: Fire Training and Education,Effectiveness,92813,# of vehicle collisions,208,210,210,210,260,260,0,0,0,0,0,0
14944,Service 615: Fire Training and Education,Efficiency,92814,Training cost per EMT recruit graduate,9800,9800,9800,9800,9800,9800,0,0,0,0,0,0
14944,Service 615: Fire Training and Education,Output,92816,# of line of duty injuries per 100 uniformed personnel,19,19,19,19,19,19,0,0,0,0,0,0
14944,Service 615: Fire Training and Education,Output,92817,# of Insurance Service Office-eligible training hours per suppression officer per year (annual measure),0,10,10,10,10,20,0,0,0,0,0,0
14944,Service 615: Fire Training and Education,Outcome,388316,% of high school program graduates employed with BCFD one year later,0,0,0,0,75,75,0,0,0,0,0,0
14944,Service 615: Fire Training and Education,Output,400676,% of firefighters completing annual safety recertifications,0,0,0,0,80,80,0,0,0,0,0,0
14945,Service 189: Fleet Management,Efficiency,398674,% of preventative maintenance work orders completed on time,0,0,0,0,0,82.16,0,0,0,0,0,0
14945,Service 189: Fleet Management,Output,398751,total gallons of fuel purchased or consumed (in millions),0,0,0,0,0,3217709,0,0,0,0,0,0
14945,Service 189: Fleet Management,Efficiency,398753,% of total costs spent on maintenance & repair outside of regular wear and tear,0,0,0,0,0,8.92,0,0,0,0,0,0
14945,Service 189: Fleet Management,Effectiveness,398754,% of essential vehicles that met their availability requirements,0,0,0,0,0,100,0,0,0,0,0,0
14945,Service 189: Fleet Management,Effectiveness,400722,% of maintenance repairs outside of scheduled preventative maintenance,0,0,0,0,0,14,0,0,0,0,0,0
14948,Service 730: Public and Private Energy Performance,Outcome,93004,$ Saved and Revenue Generated from energy efficiency projects,21600000,22000000,19100000,20000000,19000000,21400000,0,0,0,0,0,0
14948,Service 730: Public and Private Energy Performance,Efficiency,93005,$ Saved + Revenue / $ Invested (Return on Investment),2,1.8,1.83,1.85,1.9,1.81,0,0,0,0,0,0
14948,Service 730: Public and Private Energy Performance,Effectiveness,93006,Community Energy Needs Supplied by Savings (# of homes),6856,7111,9074,10000,7500,8854,0,0,0,0,0,0
14948,Service 730: Public and Private Energy Performance,Output,93007,Annual Energy Savings from Energy Office Initiatives (million kWh),66,68,87,90,71,85,0,0,0,0,0,0
14948,Service 730: Public and Private Energy Performance,Efficiency,126896,% of City government usage from renewable sources,0,13.22,13.22,6.25,6,6,0,0,0,0,0,0
14949,Service 731: Facilities Management,Outcome,92999,% of customers satisfied or very satisfied with service responsiveness,0,0,83,80,80,78,0,0,0,0,0,0
